;text;truthRating
453;A photograph shows a biennial astronomical event in Ireland known as 'Heaven’s Trail.';0
4740;A $10 million fire fee proposal in St. Petersburg was 'inspired' by Gov. Rick Scott.;0
4880;A 43-year-old woman forced her unfaithful husband to eat his own genitals.;0
9026;Facebook is donating $1 per share to a medical fund for a baby born with his heart outside his body.;0
7628;Says 'our deficits are falling at the fastest rate in 60 years.';1
2434;A photograph shows a woman snorting cocaine with her toddler.;0
7990;Internet-circulated coupons can be redeemed for free bags of Doritos brand tortilla chips.;0
6943;'The entire state of Florida led the nation last year with the most prison inmates committing tax fraud.';1
6605;Police discovered human remains in a Satanic dungeon under a Chuck E. Cheese.;0
8122;A child’s Christmas letter to a sailor  misinterprets the sounds of his mother’s sexual satisfaction as prayer.;0
4941;'Austin is the largest city in the U.S. or Texas with no geographic representation' on its city council.;1
4192;A couple of Intel engineers were fired after etching the phrase “Bill sux” onto a new version of the Pentium chip.;0
139;Photos show an alligator swimming across a lake with a deer clutched in its jaws.;1
6986;Photos and video clips narrated by a medical doctor demonstrate that Democratic presidential candidate Hillary Clinton likely has Parkinson's disease.;0
4479;Eight of 10 claims from Obiageli Ezekwesili's presidential manifesto.;1
5391;Video shows a truck pushing an automobile trapped in front of its grille.;1
3957;A wife punishes her husband’s infidelity with a hot curling iron up his backside.;0
3281;Initial efforts to strip airport contractors of their special diversity status 'has no effect' on the contracts or the city’s diversity goals.;1
742;'Last week's three most-viewed television programs were Sunday Night Football, Thursday Night Football and Monday Night Football.';1
561;Say video 'shows massive alligator strolling across Florida golf course.';1
6160;'Even if you took literally every single ounce of platinum in the world, it still wouldn’t add up to enough needed to pay down our nation’s debt.';1
2501;Obama's wife wrote a paper in college that said America was a nation founded on 'crime and hatred' and that whites in America are 'ineradicably racist.';0
2621;Samantha Davis, a former staff assistant to Sen. Maggie Hassan, pleaded guilty to crimes related to the hacking of government computers and the release of GOP senators’ addresses during Brett Kavanaugh’s final U.S. Supreme Court confirmation hearing.;1
3227;Sarah Palin 'has had 12 years of elected office experience.';1
3188;The Department of Health and Human Services requested that funding for the Ryan White HIV/AIDS Program be used for detainment of immigrant children.;1
4311;An elderly patient met his demise when the gurney he was strapped to rolled away with him.;1
2546;Hillary Clinton filed for divorce from Bill Clinton in November 2016.;0
98;Spark from a welding arc reaches disposable lighter in worker’s pocket, causing it to explode and kill him.;0
1629;A photograph shows Florida school shooter Nikolas Cruz wearing an antifa t-shirt.;0
3290;Democratic senators “sent a letter to the prosecutor in Ukraine” in 2018 asking him to 'investigate Trump.”;0
8667;"DNC Banned Churches From Distributing Gift Baskets to Delegates at
Convention";1
5877;Says a Donald Trump tweet credited Gov. Ron DeSantis for Hurricane Dorian’s path away from Florida.;0
2062;Says Chris Jacobs is a 'Never Trumper.';0
5424;An illustration from a withdrawn Yellow Pages ad reveals a risqué image when a portion of it is viewed upside-down.;1
9646;'Eighty-three law enforcement officers have died in the line of duty this year. Twenty-four of them were shot and killed in cold blood.';1
6374;A page on Hillary Clinton's campaign web site about campus sexual assault was edited to remove wording about a victim's 'right to be believed.';1
5210;'One year today since #GOP took control of the House' and 'no new jobs.';0
5494;Says in 'our region,' 2011 was worst drought year ever recorded.;1
6103;Michael Cohen, personal attorney for President Donald Trump, advertised his services as 'The Fixer' in New York City subway ads in April 2018.;0
1505;Says Henry Kissinger said that 'once the herd accepts mandatory forcible vaccination, it’s game over,' and that vaccine makers 'stand to make billions … We thin out the herd and the herd pays us for providing extermination services.';0
6465;A student who was dissatisfied with her visual biology exam showed up her professor by responding with a zinger and a visual of her own.;0
6523;A Fox News guest disparaged teenage climate activist Greta Thunberg by calling her 'mentally ill.';1
5537;With only 67 bills or so passed into law, '2013 was the least productive year in congressional history since we’ve been keeping record.';1
8596;A 2018 survey deemed the United States to be 'one of the ten worst countries in the world to be a woman.';1
3544;'How many federal rulings have NOW found intentional discrimination by #Txlege since 2011? 6.';1
1402;A Budweiser employee who saw Arabs celebrating the 9/11 attacks at a convenience store pulled all the company's product from that store.;0
2336;Actor Norman Reedus has been fired from The Walking Dead after a disagreement with producers.;0
6107;Several rescued horses in the Niagara Falls area are in need of adoption.;1
8700;'The job [of correctional officer] lowers your life expectancy . . . Metropolitan did a study in, I believe it was 1998, and the life expectancy was 58.';0
6499;Says a new report proves the stimulus supported by N.J. Democrats cost $278,000 per job.;0
3334;George Clooney has an open tab at Chipotle that anyone can use to get a free burrito.;0
3711;'The claim ... that we plan to set up panels of bureaucrats with the power to  kill off senior citizens ... is a lie, plain and simple.';1
650;'Idaho was the only Republican-led state in the nation that chose to partner with President Obama' by creating a state-based marketplace under the Affordable Care Act.;0
945;A photograph shows a man posing with a bear that he killed while it was hibernating, an act made legal by the passage of a new law.;0
5670;CNN host Fareed Zakaria posted a blog entry calling for white women to be raped by Islamic minority groups.;0
9560;NBC's long-running 'Saturday Night Live' has been cancelled due to low ratings.;0
3469;Two photographs of the earth taken by NASA in 1978 and 2012 document the dramatic effects of deforestation in North America.;0
914;The FCC is considering modifying its indecency policies regarding the use of profanity and non-sexual nudity on radio and television.;1
957;Baby left in car by forgetful parent dies.;1
3768;'Women in Virginia have been incarcerated at an increasingly high rate. It’s around (a) 300 percent increase in the past four or five years.';0
5031;Says President Obama has waived 'the work requirement for welfare.';0
4312;The 'most realistic estimates' for jobs created by Keystone XL are 'maybe 2,000 jobs during the construction of the pipeline.';0
3688;There are currently 871 convicted felons playing for the NFL.;0
793;One in 10 children in Nigeria does not reach their fifth birthday.;1
9155;A group of Black Lives Matter protesters blocked emergency crews from providing aide to those stranded by Hurricane Harvey.;0
772;Disney can legitmately claim that no one has ever died at one of their theme parks, because they always ensure that accident victims are removed from park property before being declared dead.;0
3078;Apple co-founder Steve Jobs left behind a deathbed essay about how the 'non-stop pursuit of wealth will only turn a person into a twisted being, just like me.';0
9850;American Muslims for Jerusalem have called for a boycott of Estee Lauder products.;1
9037;Mitt Romney Set Up A Command Center To Help Find Partner's Missing Daughter;1
9181;'There are more atheists in the country right now than Jews, Muslims, Hindus and Buddhists combined and doubled.';0
5723;'Forty-seven percent of Americans pay no income tax.';1
5613;Home invasion criminals have gained entry to houses by pretending to be distressed persons in need of shelter from attackers.;1
5837;In the 1950s, a Las Vegas hotel completely drained their pool because black entertainer Dorothy Dandridge stuck her toe in the water.;0
845;In a now-viral video, 'impressionable youngsters at a public school in New Jersey ... have been instructed to sing the praises of 'Barack Hussein Obama.'';1
89;'In 2017, West Virginia’s $43,469 median household income was $16,867 below the national average, ranking 50th.';1
3573;An image shows an advertisement for Trump Tower in Mumbai stating that there is 'only one way to live' installed over a group of homeless people.;1
5128;Frozen squirrels have been used for criminal purposes.;1
342;In the aftermath of Hurricane Harvey, FEMA said they would only give aid to victims if they had received (unspecified) vaccinations.;0
331;The National Park Service has 'an annual budget that is less than the city of Austin.';1
2993;The Beatles recorded songs entitled “Colliding Circles,” “Left Is Right (And Right Is Wrong),” “Pink Litmus Paper Shirt,” and “Deckchair,” all of which remain unreleased to this day.;0
1442;A man was arrested after sugar from his Krispy Kreme donuts tested positive for methamphetamine during a traffic stop.;1
4593;'U.S. taxpayers are being forced to fund Feisal Abdul Rauf’s trip to the Middle East.';1
8635;Says PolitiFact says Amendment 4 'will force counties and cities across Florida to raise taxes and fees.';0
5652;'We are only inches away from ceasing to be a free market economy.';0
7343;Says Sean Hannity told listeners of his radio show that 'Beto O’Rourke is asking for help in getting undocumented to vote.';1
897;Says President Obama said of the national debt, 'If I don't have this done in three years, then there's going to be a one-term proposition.';0
3900;The parents of murdered DNC staffer Seth Rich thanked 'the Internet' for spreading a debunked claim he had leaked thousands of e-mails to WikiLeaks.;0
1534;President Obama said women should not choose to be stay-at-home-moms.;0
4138;Says that at Beto O’Rourke’s rally in El Paso, there were '200 people, 300 people.';0
3760;'We’re spending $12,000 bucks a kid a year in the school system.';1
8558;Maj. Nidal Hasan, the man accused of the Fort Hood shootings, 'was an ADVISOR to the Obama Administration.';0
8673;'The president of the United States ... agrees with me' that marriage should be between a man and a woman.;1
6590;Ted Nugent announced he is throwing a star-studded concert to fund the building of a border wall between the United States and Mexico.;0
1529;'There are billboards in Central America in the Northern Triangle countries advertising how to grab a kid to get into the United States illegally.';0
3553;Missionary is protected from murderous attackers by the miraculous appearance of 26 armed guards.;0
8950;"Associated Press Story About Obama Citizenship Case Reaching Supreme
Court";0
7756;President Lyndon B. Johnson sent a letter to the Smothers Brothers for making Americans laugh by mocking him on their show.;1
9549;'A (state) trooper with 10 years on the force is getting $500 a year more than a trooper with 10 minutes on the force.';0
6614;Meeting held to discuss impeachment of President George W. Bush;1
3420;Says the unemployment rate for college graduates is 4.4 percent and over 10 percent for noncollege-educated.;1
9481;Photographs show 49ers quarterback Colin Kaepernick shortly after he converted to Islam.;0
7314;Says a Congressional Budget Office report on spending by House Democrats in the economic stimulus concluded it 'is just not stimulus. It won't help the economy grow.';0
2397;Says taxpayer subsidy for the Oregon Convention Center hotel jumped $100 million in closed-door sessions;1
5179;Donald Trump stated he would declare war on Americans or people inside the U.S. if elected President.;0
3073;Obama's budget plan would 'take national debt up to about 80 percent of gross national product. ... Historically, it's been about 40 percent.';1
130;Justin Trudeau: 'Income splitting … will cost the federal government a whopping two billion dollars a year.' - FactsCanada;1
2955;The 1979 Boomtown Rats song 'I Don't Like Mondays' was inspired by a deadly shooting at a school.;1
7361;'Sen. Obama worked on some of the deepest issues we had and was successful in a bipartisan way.';1
2050;The FBI raided and dismantled a pig brothel in Missouri.;0
1575;Pope Francis said it's not necessary for one to believe in God in order to be a good person.;0
9766;'In Texas, schools do not even have to teach sex education.';1
164;A television show captured video of men who were tricked into catcalling their own mothers.;0
3198;Says Kelly Ayotte 'voted again yesterday against a proposal to expand background checks -- (buyers) can continue to simply go online or to gun shows to purchase guns without background checks.';1
6466;'Most private sector jobs in the history of Buffalo exist in Buffalo today';1
8466;'[State Rep. Doug McKillip’s] donors deserve a refund.';0
3108;A telephone company will no longer have to provide landline service to customers if there is an alternative provider, including wireless.;1
3915;Says President Barack Obama’s debt commission recommended converting Medicare 'to a system where Medicare participants are given a voucher to purchase insurance in the private market.';0
5264;President Obama ordered the removal of an American flag at a Pearl Harbor memorial.;0
8128;'Today almost half our debt is owned by foreigners.';1
1848;'Bill Nelson actually voted in favor of higher taxes 272 times.';0
6092;The Obama administration increased the deportation of illegal immigrants convicted of crimes by 70 percent.;1
834;John McCallum: “We will have reached the number 25,000 and thereby kept our promise.” - FactsCanada;0
5317;The real Hillary Clinton has been dead since 1998 and was replaced with a clone.;0
606;Says bus riders subsidize the 'expensive, romanticized' Leander-to-Austin train.;0
5966;Lightning struck a church after the preacher identified thunder as the voice of God during a sermon.;1
2613;'We're now the No. 1 producer of oil in the world. We've surpassed Saudi Arabia.';1
8325;'As usual, Hillary & the Dems are trying to rig the debates so 2 are up against major NFL games.';0
3962;Says Nevada lawmakers voted to allow teenaged boys to 'shower with your teenaged girls in public school locker rooms.';0
1310;A new U.S. Citizenship and Immigration Services task force is charged with identifying naturalized citizens who cheated on their applications and seeking the revocation of their citizenship, a process known as 'denaturalization.';1
652;'The income of the top 1 percent nearly quadrupled from 1979 to 2007, but the typical family’s incomes barely budged.';1
7177;'Snitker has been virtually ignored by the major media.';1
4191;A photograph of a fire at Notre Dame Cathedral in Paris shows the Eiffel Tower directly in the background.;1
1706;Scientists state a 30% chance that a  6.0 earthquake will hit Berkeley, California, within 3 weeks of 28 October 2011.;0
2494;There were '$2 billion in earmarks in fiscal year 2012.';0
2191;Public schools, colleges and state-funded day care centers 'will be made into sanctuaries by Bruce Rauner signing SB 31.';0
4504;'The NRA used to support expanded background checks.';1
976;Legislation currently under proposal would result in substantial cuts to federal funding of the NEA and other public arts programs.;0
9334;Tommy Robinson was jailed in order to silence his reporting on a sex abuse trial in England, and to 'protect Muslim pedophiles.';0
4832;A diligent student found a hidden reward tucked away in an academic work.;1
8069;'Medicare costs have slowed down dramatically. In fact, the first two months of this fiscal year, Medicare costs were down even in nominal terms relative to the previous year.';1
5590;Liberty University students 'were mandated' to attend Sen. Ted Cruz’s presidential announcement 'or they would be fined.';1
1071;The Bush tax cuts 'helped to create a substantial part of the deficit.';1
968;A hot microphone picked up President Obama telling Russian President Dmitri Medvedev he would have more flexibility to negotiate on issues like missile defense after the 2012 election.;1
4435;'In 2010, Mr. [Anthony] Gemma described himself as a 'pro-life' candidate. Now, he claims to be pro-choice.';1
6724;Emails show Democrats, Hillary Clinton and George Soros instigated and orchestrated racial protests in Charlottesville by trying to 'control' and keep people 'desperate.';0
538;A photograph captures wildlife fleeing a fire in Bitterroot Forest, Montana.;1
8495;Clint Eastwood received 'tragic news' and was subjected to 'heavy insults' because of his new movie.;0
8952;'$16 trillion (the national debt) in $1 bills would cover the entire state of Ohio nearly 1.5 times.';1
3310;'The Earth is not warming.';0
2462;Opera singer reads embarrassingly misprinted lyrics.;0
354;Dan Seals has been running for office 'since before there were, like, iPods.';0
3162;The contents of a few cans of frozen shaving cream will, when thawed, expand to fill an automobile.;0
1761;'Re: (Marco) Rubio's support of earmark ban: In 2002 alone, he requested 37 earmarks worth $43 million.';1
9995;A woman performed her own abortion with a 'U-Abort It™' attachment for her AR-15.;0
8152;A portion of Route 66 in New Mexico plays 'America the Beautiful' when you drive over it.;1
7224;'Even our nuclear arsenal doesn't work. It came out recently they have equipment that is 30 years old. They don't know if it worked.';0
2432;'McCain opposed a requirement that the government buy American-made motorcycles. And he said all buy-American provisions were quote 'disgraceful.' ';1
4110;The McCain campaign 'did not elaborate' on Obama's ties to ACORN.;0
6531;The Obama administration has proposed a 2,300-page “New Constitution.”;0
2805;'The American people have endured 21 consecutive months of 9% or higher unemployment [and] 2.6 million jobs have been lost,' since the stimulus bill was signed.;1
3122;'18 percent of our land in our state right now is either federally, state or county owned for conservation purposes.';1
9598;'Donna Shalala left me with 12 million doses' of smallpox vaccine and 'I created enough' to vaccinate 'every man, woman and child against smallpox in America.';1
1277;The Republicans' alternative health care plan 'will still let insurers raise premiums four times faster than wages.';0
1064;'The (ARC Tunnel) project was originally estimated to be $8.7 billion, and New Jersey alone was on the hook for all overruns.';1
7701;A three-year-old boy named William Tyrell is missing from his New South Wales, Australia, home.;1
397;A tourist's unfortunate bout of stomach upset on a Spanish roller coaster splashed liquid fecal matter on other customers.;0
3182;'Right now, Texas doesn’t have an income tax and Oklahoma’s lowering their income tax rates, and guess what their severance tax is? Sky high.';1
9084;A photograph shows a Canadian flag displayed across Niagara Falls for Canada Day, July 1, in 2019.;0
1215;'Sen. Obama has always had a 100 percent prochoice rating.';1
4419;E-mail reproduces Rev. Jesse Lee Peterson’s editorial critical of New Orleans blacks and their “moral poverty.”;1
3601;Hillary Clinton Said She “Admires” Margaret Sanger;1
6002;'Without representation, (the IRS) can increase taxes.';0
2933;'Trump proposed enacting the largest tax increase in American history.';1
145;'You can import as many hemp products into this country as you want...but we can’t grow it.';1
7893;President Obama launched an “African Americans for Obama” campaign in February 2012.;1
7743;Says a photo shows President Ronald Reagan meeting with Taliban leaders in the White House.;0
7892;A video shows a fish with a human face.;0
3658;The web sites of German automobile manufacturers BMW and Mercedes-Benz both displayed maps of the Middle East which left Israel unidentified.;1
5171;'Why didn't (uninsured Americans) buy insurance? Because of the expense.';1
5954;'Congressman Renacci is under FBI investigation.';0
295;Peter DeFazio 'will sneak in a 1 percent tax on all banking transactions.';0
1497;Says North Carolina's replacement for HB2 'orders NC cities to discriminate against LGBT people until at least 2020 and unfair ‘bathroom bans’ remain.';0
2298;Ashley Judd announced that she was moving to the Middle East, 'where women have more rights'.;0
8101;Switzerland issues firearms to adult men and provides training in their use.;1
6475;Rhode Island spends '52 percent more per capita on human service programs than the national average.';1
7332;Photo shows members of the migrant caravan dragging a Mexican official.;0
8445;The minister officiating at Ursula's wedding ceremony in The Little Mermaid displays an erection.;0
1350;Singer Axl Rose was found dead in his West Hollywood home.;0
2641;Says 90 percent of Americans and 74 percent of National Rifle Association members support background checks of gun purchasers.;1
5705;Mark Chambers, mayor of Carbon Hill, Ala., wrote on Facebook that members of the LGBTQ community and other groups should be 'killed out.';1
5404;President Obama is using his personal funds to keep the International Museum of Muslim Cultures open during the government shutdown.;0
7257;A photograph shows markings on a turtle's shell that resemble the word 'God.';1
138;Says White House adviser Steve Bannon said, 'Nobody can blame you for beating your wife if it’s out of love.';0
1073;Facebook posts by commercial flight attendants describe their experiences working on flights transporting unaccompanied immigrant children to detention facilities.;1
2944;'Starbucks CEO: ‘If You Support Traditional Marriage We Don’t Want Your Business’';0
2382;The lubricating spray WD-40 is so named because it was the product of the 40th attempt at creating a water displacing substance.';1
6407;'Ten years ago, John McCain offered a bill that said he would ban a candidate from paying registered lobbyists.';1
9577;'Oil companies ...currently have 68-million acres that they're not using.';0
1720;The $290 million structural surplus in the 2011-’13 Wisconsin budget is not real because it is based on the assumption that Congress will reinstate the estate tax.;0
960;'There are over 2,000 crimes recorded per 100,000 population in the U.K.,' compared to '466 violent crimes per 100,000' in the United States.;0
5883;'Human meat found in McDonald’s meat factory';0
5759;Says 'by 4th grade, 86 percent of African-American boys and 82 percent (of) Hispanic boys are reading below proficiency levels.';1
1579;Female student embarrassingly asks biology instructor why semen tastes salty.;0
2788;Bill McCollum has 'recovered $200 million in Medicaid fraud.';1
7365;George Washington said, 'Firearms stand next in importance to the Constitution itself.';0
6952;John Glenn versus Howard Metzenbaum;1
7055;Photographs show a woman trying to cross the U.S.-Mexico border hidden inside a car's dashboard.;1
6622;An image showing two lynched men originated with the game 'Call of Duty: WWII.';1
9749;Photograph shows Mohammed Fazl, a Taliban prisoner exchanged for U.S. soldier Bowe Bergdahl, posing with severed heads.;0
4892;'There has never been a death caused by a [commercial nuclear] reactor in the United States, even when Three Mile Island failed in the 1970s.';1
9769;“Let me put in my two cents” gained its linguistic origin thanks to the game of poker.;0
353;Says ending the direct payment farm subsidy program 'could save up to $28.4 billion over ten years that could be used to reduce the deficit.';1
8939;A poster asking residents to 'not dump trash on white supremacists' properties' was produced and distributed by city officials in Atlanta, Ga.;0
1364;'The War in Afghanistan is officially the longest war Americans have ever been asked to endure.';1
8395;President Barack Obama and Secretary of State John Kerry agreed 'to lift Iran’s economic and arms sanctions without any proof of change in conduct.';0
1467;In the Illinois Legislature, Barack Obama 'voted 'present,' instead of yes or no' on seven votes involving abortion rights.;1
136;Former NFL quarterback Kurt Warner married a woman who had two children, one a special needs child.;1
4816;Two television stations aired 2012 election “results” early.;1
376;Romney said ''No' to in-state tuition' for illegal immigrants.;1
9647;Some states hit hardest by opioid deaths 'have more opioid prescriptions than residents.';1
